"box_file","home_away","minutes","fgm","fga","3pm","3pa","ftm","fta","dreb","oreb","pf","stl","tover","blk"
"189103.html","home","216","49","87","14","31","7","9","17","33","16","23","7","9"
"189105.html","away","200","26","70","10","29","9","9","10","18","14","3","9","4"
"189105.html","home","200","31","54","10","19","15","18","5","30","13","4","12","1"
"189106.html","away","200","25","53","2","11","24","27","9","26","22","5","16","2"
"189106.html","home","200","23","59","8","23","19","24","10","14","19","8","13","5"
"189107.html","away","200","26","59","5","23","22","35","10","35","16","3","13","3"
"189107.html","home","200","28","68","11","30","7","9","3","26","29","7","6","6"
"189108.html","away","200","26","65","8","25","9","11","8","22","22","7","30","1"
"189108.html","home","200","36","80","2","15","20","31","18","22","17","18","15","9"
"189109.html","away","200","23","60","8","26","13","18","10","17","24","5","15","2"
"189109.html","home","200","29","63","7","20","22","31","14","27","15","8","10","8"
"189110.html","away","200","20","62","1","8","7","15","10","25","21","10","18","1"
"189110.html","home","200","30","67","3","17","14","23","16","31","18","12","17","11"
"189111.html","away","200","15","56","2","12","10","19","6","27","20","4","20","0"
"189111.html","home","200","28","63","7","31","19","29","12","33","19","9","14","8"
"189112.html","away","200","15","61","2","21","23","33","13","22","30","7","18","6"
"189112.html","home","200","28","57","2","9","19","36","9","27","27","8","20","5"
"189113.html","away","200","25","73","9","38","4","7","18","19","23","5","13","1"
"189113.html","home","200","28","50","4","15","17","28","8","30","11","4","14","4"
"189114.html","away","200","25","58","3","13","12","18","12","23","14","4","16","2"
"189114.html","home","200","30","61","14","34","9","14","7","24","18","8","12","8"
"189115.html","away","200","26","62","5","14","13","17","11","29","23","2","17","1"
"189115.html","home","200","27","62","6","18","17","27","7","23","20","9","6","3"
"189116.html","away","200","26","66","12","28","15","24","15","20","28","4","24","2"
"189116.html","home","200","38","76","8","19","25","31","13","26","21","11","9","7"
"189117.html","away","200","21","57","3","21","2","8","12","17","14","5","14","3"
"189117.html","home","200","35","59","6","14","4","9","11","23","13","6","8","4"
"189118.html","away","200","24","68","9","31","8","14","6","20","13","10","6","0"
"189118.html","home","200","27","59","10","20","10","17","11","36","15","2","17","4"
"189119.html","away","200","23","63","7","20","4","9","8","18","17","4","16","1"
"189119.html","home","200","31","61","6","19","11","17","10","25","14","8","10","9"
"189120.html","away","200","25","54","8","21","10","16","4","21","20","7","14","2"
"189120.html","home","200","28","59","8","21","17","21","10","27","14","9","12","1"
"189121.html","away","200","22","64","6","29","14","17","14","12","22","7","10","1"
"189121.html","home","200","28","50","6","18","22","27","9","25","15","4","13","6"
"189122.html","away","200","30","65","8","26","7","9","7","19","19","5","9","2"
"189122.html","home","200","27","54","8","20","18","21","7","27","11","6","11","1"
"189123.html","away","200","31","66","7","22","10","14","14","32","14","6","11","3"
"189123.html","home","200","29","68","8","29","5","7","7","24","17","6","8","0"
"189124.html","away","200","15","65","7","28","15","21","8","23","20","5","19","3"
"189124.html","home","200","39","79","14","30","20","26","19","39","16","14","15","7"
"189125.html","away","200","26","55","5","19","8","18","7","27","20","3","14","3"
"189125.html","home","200","21","58","11","32","22","28","9","25","17","9","6","2"
"189126.html","away","200","21","63","9","27","7","12","6","26","17","5","20","3"
"189126.html","home","200","36","83","13","35","12","18","18","31","13","13","8","5"
"189127.html","away","200","28","69","9","33","9","13","9","30","23","3","11","0"
"189127.html","home","200","29","59","9","26","12","28","8","30","20","4","11","4"
"189129.html","away","200","24","61","5","28","2","11","10","29","24","3","19","2"
"189129.html","home","200","26","63","8","28","16","24","10","31","15","10","12","2"
"189130.html","away","200","24","71","7","32","20","26","12","32","27","10","17","2"
"189130.html","home","200","23","61","8","24","26","34","8","36","23","8","21","12"
"189131.html","away","202","21","53","6","20","13","15","9","23","27","4","15","6"
"189131.html","home","200","16","51","9","26","22","31","11","21","16","5","12","1"
"189132.html","away","200","19","57","4","21","14","23","14","19","27","6","12","1"
"189132.html","home","200","20","49","5","16","19","29","13","26","18","2","14","2"
"189134.html","away","200","20","49","4","25","4","6","9","35","7","4","15","4"
"189134.html","home","200","13","55","5","29","3","7","5","19","12","5","8","3"
"189135.html","away","200","17","54","6","18","12","17","8","19","21","0","19","2"
"189135.html","home","201","33","61","9","23","16","20","7","28","17","9","7","3"
"189136.html","away","200","23","52","7","20","9","14","5","26","13","6","17","4"
"189136.html","home","200","27","54","7","17","12","13","1","22","12","13","9","5"
"189137.html","away","200","22","61","6","20","12","16","8","13","18","4","8","1"
"189137.html","home","200","28","47","9","21","18","22","6","30","19","2","15","5"
"189138.html","away","200","24","52","9","19","8","16","4","21","25","4","14","5"
"189138.html","home","200","21","53","5","19","22","31","13","24","16","11","13","6"
"189139.html","away","200","19","55","4","16","13","16","8","19","9","8","12","4"
"189139.html","home","200","34","59","17","29","1","2","5","26","13","7","13","4"
"189140.html","away","200","28","56","12","29","21","25","8","19","23","7","11","2"
"189140.html","home","200","27","52","1","11","24","27","7","19","24","5","13","3"
"189141.html","away","200","18","51","5","18","4","9","8","23","10","8","20","2"
"189141.html","home","200","31","67","14","34","3","4","10","28","16","6","11","2"
"189142.html","away","200","26","71","8","28","7","16","18","24","18","7","11","2"
"189142.html","home","200","20","54","5","18","12","19","6","26","20","5","13","6"
"189144.html","away","200","26","66","13","35","6","9","8","30","25","8","21","9"
"189144.html","home","200","26","69","3","21","18","32","11","31","13","11","15","7"
"189145.html","away","0","0","0","0","0","0","0","0","0","0","0","0","0"
"189145.html","home","200","33","76","12","37","11","13","12","26","14","5","13","2"
"189146.html","away","200","22","55","11","28","7","13","8","20","10","5","19","0"
"189146.html","home","200","34","65","10","33","5","7","9","23","15","10","11","9"
"189147.html","away","200","21","60","1","15","13","19","5","24","14","1","11","4"
"189147.html","home","200","33","81","9","31","10","15","16","30","13","10","3","3"
"189148.html","away","200","22","65","10","35","9","11","8","13","19","5","18","1"
"189148.html","home","200","40","64","11","19","18","21","7","34","17","9","15","1"
"189149.html","away","200","19","56","9","28","4","15","15","15","19","1","18","3"
"189149.html","home","200","32","56","9","18","20","24","11","22","19","11","9","6"
"189150.html","away","200","16","64","8","33","9","11","3","19","21","10","21","0"
"189150.html","home","200","34","62","2","14","21","32","12","39","13","8","18","6"
"189151.html","away","200","22","59","8","29","4","6","5","19","19","6","10","1"
"189151.html","home","200","25","55","6","19","15","17","9","29","14","6","12","3"
"189152.html","away","200","15","46","6","19","7","12","1","19","19","11","23","2"
"189152.html","home","200","25","56","8","26","13","20","9","24","20","14","14","3"
"189153.html","away","200","25","67","10","31","5","7","10","14","18","3","8","2"
"189153.html","home","200","29","53","6","14","12","19","7","27","15","1","13","7"
"189154.html","away","200","21","52","8","25","6","8","9","19","20","5","14","2"
"189154.html","home","200","17","46","10","26","15","20","8","17","15","10","18","5"
"189155.html","away","199","22","56","5","15","12","16","5","16","20","4","8","0"
"189155.html","home","200","28","55","14","32","13","15","7","28","15","4","10","3"
"189157.html","away","200","18","50","3","12","12","22","7","29","14","10","13","5"
"189157.html","home","200","20","57","10","27","6","13","9","28","20","5","15","4"
"189158.html","away","200","18","52","6","25","1","14","1","22","9","6","12","1"
"189158.html","home","200","31","60","14","33","4","9","6","39","14","9","11","2"
"189159.html","away","200","24","69","4","18","13","17","8","25","19","7","10","4"
"189159.html","home","200","30","61","7","25","16","25","10","35","15","3","13","5"
"189160.html","away","200","24","51","6","24","22","35","6","28","21","3","14","5"
"189160.html","home","200","18","55","10","28","20","23","8","20","27","8","15","0"
"189161.html","away","200","19","63","4","23","25","26","16","25","21","2","24","1"
"189161.html","home","200","34","75","5","19","16","22","14","24","24","10","11","9"
"189162.html","away","225","35","72","14","28","14","22","13","28","19","5","10","2"
"189162.html","home","225","35","68","13","29","17","24","7","24","18","8","8","6"
"189163.html","away","200","24","62","10","31","26","31","10","26","28","6","16","2"
"189163.html","home","200","29","61","5","13","31","40","9","28","23","12","14","5"
"189164.html","away","200","21","56","4","19","17","28","9","24","25","4","13","3"
"189164.html","home","200","27","63","6","19","21","31","12","26","20","5","11","2"
"189165.html","away","200","20","53","4","17","16","23","7","23","21","4","8","2"
"189165.html","home","200","20","43","7","22","19","29","4","26","20","4","9","5"
"189166.html","away","200","27","72","8","25","16","30","13","38","15","5","8","3"
"189166.html","home","200","25","72","5","28","7","11","11","37","22","5","11","0"
"189167.html","away","200","14","71","6","39","8","11","11","29","14","8","16","1"
"189167.html","home","200","27","61","11","33","9","12","5","44","13","7","15","5"
"189168.html","away","200","15","62","8","29","8","14","11","16","18","5","19","3"
"189168.html","home","200","32","54","14","27","14","26","8","32","17","5","14","8"
"189169.html","away","200","18","55","5","21","14","22","6","26","17","5","17","0"
"189169.html","home","200","37","69","4","22","11","18","8","32","19","12","9","6"
"189170.html","away","200","17","48","3","20","24","34","7","28","20","6","14","3"
"189170.html","home","200","19","61","4","27","17","22","12","31","25","9","11","2"
"189171.html","away","200","20","66","4","26","5","16","16","26","21","8","21","3"
"189171.html","home","200","25","53","4","14","9","21","10","29","19","11","23","4"
